@id,name,branch,alt_name,addr:city,brand,brand:wikidata,opening_hours,operator,wheelchair,@user,internet_access,organic,level,phone,contact:phone,website,addr:street,addr:housenumber,addr:postcode,lon,lat,brand:wikipedia,building,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,shop,source,@timestamp,@version,@changeset,@uid,@geometry,indoor,check_date:opening_hours,diet:halal,diet:kosher,internet_access:fee,name:de,name:fr
node/4434448389,Aldi,,,,,,Mo-We 07:30-18:30; Th-Fr 07:30-21:00; Sa 07:30-16:00,,,sovereign_ch,,,,,,,,,,8.298684,47.0514167,,,,,,,,,,,,,,,,,,,,
node/4483851909,Shanghai,,,,,,,,,Interactiondesigner,,,,,,,,,,8.3013009,47.0503581,,,,,,,,,,,,,,,,,,,,
node/4534849601,Aldi,,,,Aldi,Q125054,"Mo-We 08:00-18:30; Th, Fr 08:00-21:00; Sa 08:00-16:00",,,Interactiondesigner,,,,+41 41 240 79 82,,,Hertensteinstrasse,50,,8.3075962,47.0541662,,,,,,,,,,,,,,,,,,,,
node/4751134997,s'Gänterli Bio-Laden,,,,,,"Tu-Fr 08:30-12:15,14:00-18:30; Sa 08:30-16:00",,,Nedfro,,only,,+41 41 240 59 12,,http://www.gänterli.ch/,Vonmattstrasse,50,,8.300816,47.0461691,,,,,,,,,,,,,,,,,,,,
node/4931591722,Migros,Luzern Schlossberg,Migros Schlossberg,Luzern,Migros,Q680727,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,sovereign_ch,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-schlossberg,Friedentalstrasse,6,6004,8.3077943,47.0612692,,,,,,,,,,,,,,,,,,,,
node/5435055314,Coop,Luzern Hirschmatt,Coop Hirschmatt,Luzern,Coop,Q432564,Mo-We 06:30-18:00; Th-Fr 06:30-24:00; PH closed; Sa 06:30-16:00,Coop Genossenschaft,no,sovereign_ch,,,,,,,Hirschmattstrasse,15,6003,8.306677,47.0485838,,,,,,,,,,,,,,,,,,,,
node/6433998885,Bio Oel,,,,,,,,,Interactiondesigner,,only,,,,,,,,8.2992586,47.0507244,,,,,,,,,,,,,,,,,,,,
node/6652920985,Denner,Luzern Bundesstrasse,,Luzern,Denner,Q379911,,,,sovereign_ch,,,,,,,Bundesstrasse,12,6003,8.304805,47.0436265,,,,,,,,,,,,,,,,,,,,
node/6710832885,Alnatura,Luzern,Alnatura Luzern,Luzern,Alnatura,Q876811,Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,,sovereign_ch,,,,,,https://www.alnatura.ch/de/filialfinder.html#alnatura-bio-super-markt-alnatura-bio-super-markt-luzern,Hertensteinstrasse,40,6004,8.3084604,47.0543816,,,,,,,,,,,,,,,,,,,,
node/7395144124,Coop,,Coop City Luzern Food,Luzern,Coop,Q432564,,Coop Genossenschaft,,sovereign_ch,,,,,,,Rössligasse,18-20,6000,8.3039971,47.0521569,,,,,,,,,,,,,,,,,,,,
node/8171358619,Denner,,,,Denner,Q379911,,,,topius,,,,,,,,,,8.3041762,47.037959,,,,,,,,,,,,,,,,,,,,
way/87220776,Migros,Luzern Schweizerhof,Migros Schweizerhof (MM),Luzern,Migros,Q680727,Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,yes,sovereign_ch,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-schweizerhof,Hertensteinstrasse,9,6004,8.3097142,47.0546778,de:Migros,commercial,migros_bank;postfinance_card,no,no,checkout,supermarket,Bing,2020-07-14T17:30:43Z,8,87990027,5755216,center,,,,,,,
way/90520644,Denner,Luzern Sälistrasse,,Luzern,Denner,Q379911,,,,sovereign_ch,,,,,,,Sälistrasse,21,6005,8.3008023,47.0456514,,yes,migros_bank;postfinance_card,no,no,checkout,supermarket,,2020-04-10T17:43:09Z,6,83377050,5755216,center,,,,,,,
way/93459850,Coop,Luzern Kasernenplatz,Coop Kasernenplatz,Luzern,Coop,Q432564,"Mo-We 07:00-18:30, Th,Fr 07:00-20:00, Sa 07:00-16:00",Coop Genossenschaft,,sovereign_ch,,,,,,,Bruchstrasse,9,6003,8.2999089,47.0511471,,yes,,,,,supermarket,,2020-06-05T21:40:27Z,7,86263177,5755216,center,,,,,,,
node/206357901,Migros,Luzern Würzenbach,Migros Würzenbach,Luzern,Migros,Q680727,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,sovereign_ch,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-wuerzenbach,Kreuzbuchstrasse,53,6006,8.3398988,47.0544427,de:Migros,,migros_bank;postfinance_card,,,,supermarket,,2020-07-14T15:23:22Z,6,87985589,5755216,,,,,,,,
way/379342427,Migros,Luzern Bahnhof,Migros Luzern Bahnhof,Luzern,Migros,Q680727,"Mo-Sa 06:00-22:00, Su 07:00-22:00",Genossenschaft Migros Luzern,,sovereign_ch,,,-1,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-bahnhof,,,6003,8.3092909,47.0507647,de:Migros,,migros_bank;postfinance_card,no,no,checkout,supermarket,,2020-07-14T17:30:10Z,8,87989937,5755216,center,yes,,,,,,
way/379354224,Coop,Luzern Bahnhof,Coop Luzern Bahnhof,Luzern,Coop,Q432564,Mo-Sa 06:00-22:00; Su 07:00-22:00,Coop Genossenschaft,yes,KaiPankrath,,,-1,,+41 41 226 10 30,,,,6003,8.311262,47.0503038,de:Coop (Schweiz),,,,,,supermarket,,2021-03-13T06:42:18Z,10,100942561,4067009,center,yes,,,,,,
node/506648228,Denner,Luzern Kellerstrasse,,Luzern,Denner,Q379911,Mo-We 08:00-18:30; Th-Fr 08:00-20:00; Sa 08:00-16:00,,yes,Approximation,,,,,,,Brünigstrasse,16-18,6005,8.3115279,47.0431572,en:Denner (supermarket),,migros_bank;postfinance_card,no,no,checkout,supermarket,,2021-05-26T07:17:59Z,10,105335870,329340,,,2021-05-26,,,,,
node/506648661,Migros,Luzern Tribschenstrasse,Migros Tribschenstrasse,Luzern,Migros,Q680727,"Mo-Fr 07:00-19:00, Sa 07:00-17:00; PH off",Genossenschaft Migros Luzern,yes,8z0kqc7jz0v8,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-tribschenstrasse,Tribschenstrasse,66,6005,8.3169119,47.0423087,en:Migros,,,,,,supermarket,,2022-01-08T13:44:46Z,15,115908401,14749801,,,,no,no,,,
node/668943412,Coop,Luzern Schlossberg,Coop Schlossberg,Luzern,Coop,Q432564,Mo-Fr 07:30-18:30; Sa 07:30-16:00,Coop Genossenschaft,,Rollsa,wlan,,,+41413670970 +41 41 420 98 08,,https://coop.ch/,Maihofstrasse,1,6006,8.3083616,47.0614224,,,,,,,supermarket,,2022-01-22T08:53:17Z,7,116457973,14533872,,,,,,,,
node/1069059529,Migros,Luzern Waldstätter,Migros Waldstätter,Luzern,Migros,Q680727,Mo-Fr 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,yes,sovereign_ch,wlan,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-waldstaetter,Winkelriedstrasse,58,6003,8.3072505,47.0461309,de:Migros,,,,,,supermarket,,2020-07-14T17:20:46Z,10,87989729,5755216,,,,,,,,
node/1069059588,Coop,Luzern Winkelried,Coop Winkelried,Luzern,Coop,Q432564,,Coop Genossenschaft,yes,sovereign_ch,wlan,,,,,,Winkelriedstrasse,56,6000,8.3068307,47.0465392,,,,,,,supermarket,,2020-06-05T21:40:25Z,7,86263177,5755216,,,,,,no,,
node/1213912708,Coop,Luzern Hubelmatt,Coop Hubelmatt,Luzern,Coop,Q432564,,Coop Genossenschaft,yes,topius,,,,,,,,,6005,8.3084669,47.0372758,de:Coop (Schweiz),,,,,,supermarket,,2020-12-02T09:24:28Z,5,95144038,2903947,,,,,,,,
node/1242864993,Coop,Littau,Coop Littau,Littau,Coop,Q432564,,Coop Genossenschaft,,sovereign_ch,,,,,,,Luzernerstrasse,88,6014,8.2709761,47.0510053,,,,,,,supermarket,,2020-04-12T14:26:52Z,2,83429305,5755216,,,,,,,,
node/1254632069,Coop,Luzern Schönbühl,Coop Schönbühl,Luzern,Coop,Q432564,,Coop Genossenschaft,,wobi9000,,,,,,,Langensandstrasse,23,6005,8.3287849,47.0372902,de:Coop (Schweiz),,,,,,supermarket,,2021-12-07T16:00:46Z,4,114666794,10708323,,,,,,,,
node/1254632070,Migros,Luzern Schönbühl,Migros Schönbühl (MM),Luzern,Migros,Q680727,"Mo-Th 08:30-19:00, Fr 08:30-21:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,yes,8z0kqc7jz0v8,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-schoenbuehl,Langensandstrasse,23,6005,8.3282536,47.0374219,en:Migros,,migros_bank;postfinance_card,no,no,checkout,supermarket,,2022-01-01T09:45:52Z,11,115630193,14749801,,,,no,no,,,
node/1302026588,Denner,Luzern EKZ Schönbühl,,Luzern,Denner,Q379911,,,,wobi9000,,,,,,,Langensandstrasse,23,6005,8.3287776,47.0374484,en:Denner (supermarket),,migros_bank;postfinance_card,no,no,checkout,supermarket,,2021-12-07T16:00:46Z,5,114666794,10708323,,,,,,,,
node/1334477909,Migros Partner,Luzern Wesemlin,Migros Partner Wesemlin,Luzern,,,"Mo-Fr 08:00-12:15,13:30-19:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,stoerdebegga,,,,,,https://filialen.migros.ch/de/migros-partner-luzern-wesemlin,Mettenwylstrasse,16,6006,8.3168017,47.0624071,,,,,,,supermarket,,2021-10-09T14:58:58Z,8,112304263,14183697,,,,,,,,
node/1351032263,Migros,Luzern Bruchstrasse,Migros Bruchstrasse,Luzern,Migros,Q680727,Mo-Fr 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,,sovereign_ch,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-bruchstrasse,Bruchstrasse,18,6003,8.2993724,47.0505994,de:Migros,,,,,,supermarket,,2020-07-14T17:19:11Z,6,87989660,5755216,,,,,,,,
node/1369379077,Migros,Ruopigen,Migros Ruopigen,,Migros,Q680727,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,yes,FischersFritz,,,,,,https://filialen.migros.ch/de/migros-supermarkt-ruopigen-zentrum-luzern,,,,8.274562,47.0616861,de:Migros,,migros_bank;postfinance_card,no,no,checkout,supermarket,,2022-01-18T20:13:56Z,6,116314679,74900,,,,,,,,
node/1586212540,Aldi,,,,Aldi,Q125054,,,yes,wheelmap_visitor,,,,,,,,,,8.2944229,47.0242278,en:Aldi,,,,,,supermarket,,2021-03-01T11:25:27Z,5,100193440,290680,,,,,,,,
node/1841821791,Migros,Luzern Allmend,Migros Allmend,Luzern,Migros,Q680727,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,yes,topius,,,0,+41 41 414 48 40,,https://filialen.migros.ch/de/migros-supermarkt-luzern-allmend,Zihlmattweg,46,6005,8.3046528,47.0313468,en:Migros,,,,,,supermarket,,2020-12-02T09:24:28Z,9,95144038,2903947,,,,,,,,
node/1984053453,Schappe Center,,,,,,,,yes,wheelmap_visitor,,,,,,,,,,8.2736114,47.0343305,,,,,,,supermarket,,2013-04-18T07:17:39Z,2,15769287,290680,,,,,,,,
node/3315683712,Schubi Weine,,,Luzern,,,"Tu-Fr 08:00-12:00,14:00-18:30; Sa 08:00-16:00; Nov-Dec: Mo 08:00-12:00,14:00-18:30",Pius Schumacher,,Josef73,,,,,,,Bernstrasse,110,6003,8.2826871,47.0528594,,,,,,,supermarket,,2020-12-29T20:11:42Z,2,96622823,213831,,,,,,,,
node/3580426606,ALDI,,,,ALDI,Q41171672,,,,wobi9000,,,,,,,,,,8.3282701,47.0372139,en:Aldi,,,,,,supermarket,,2021-12-07T16:00:46Z,2,114666794,10708323,,,,,,,,
node/3622702536,Denner Satellit,Kriens Obernauerstrasse,,Kriens,Denner,Q379911,,,,topius,,,,,,,Obernauerstrasse,38,6010,8.2693685,47.0340881,en:Denner (supermarket),,,,,,supermarket,,2020-12-02T09:24:28Z,4,95144038,2903947,,,,,,,,
node/3902835036,Migros,Kriens Hofmatt,Migros Kriens (MM),Kriens,Migros,Q680727,"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,yes,topius,,,,,,https://filialen.migros.ch/de/migros-supermarkt-kriens-hofmatt,Luzernerstrasse,30,6010,8.2826546,47.0337643,en:Migros,,,,,,supermarket,,2020-12-02T09:24:28Z,12,95144038,2903947,,,,,,,,
node/3902888438,Coop,Kriens Schappe,Coop Schappe,Kriens,Coop,Q432564,"Mo,Tu,Th 08:00-18:30; We,Fr 08:00-20:00; Sa 07:30-16:00",Coop Genossenschaft,,topius,,,,,,,Hobacherweg,2,6010,8.2731116,47.0343833,de:Coop (Schweiz),,,,,,supermarket,,2020-12-02T09:24:28Z,6,95144038,2903947,,,,,,,,
node/3906395211,Denner,Kriens EKZ Hofmatt,,Kriens,Denner,Q379911,,Denner,,topius,,,,,,,Luzernerstrasse,28-30,6010,8.2828336,47.0336981,en:Denner (supermarket),,migros_bank;postfinance_card,no,no,checkout,supermarket,,2020-04-11T14:19:14Z,5,83400334,2903947,,,,,,,,
node/4307893181,Coop,Luzern Löwencenter,Coop Löwencenter,Luzern,Coop,Q432564,"Mo-We 07:30-18:30, Th,Fr 07:30-21:00, Sa 08:00-16:00",Coop Genossenschaft,yes,sovereign_ch,,,,,,,Zürichstrasse,9,6004,8.3101171,47.0568709,,,,,,,supermarket,,2020-06-05T21:40:26Z,6,86263177,5755216,,,,,,,,
node/4307893182,Denner,Luzern Löwen-Center,,Luzern,Denner,Q379911,,,,sovereign_ch,,,,,,,Zürichstrasse,5,6004,8.3100234,47.0562172,,,migros_bank;postfinance_card,no,no,checkout,supermarket,,2020-06-05T21:40:26Z,7,86263177,5755216,,,,,,,,
node/4434448389,ALDI,,,,ALDI,Q41171672,Mo-We 07:30-18:30; Th-Fr 07:30-21:00; Sa 07:30-16:00,,,wobi9000,,,,,,,,,,8.298684,47.0514167,en:Aldi,,,,,,supermarket,,2021-12-07T15:59:27Z,4,114666755,10708323,,,,,,,,
node/4483851909,Shanghai,,,,,,,,,Interactiondesigner,,,,,,,,,,8.3013009,47.0503581,,,,,,,supermarket,,2020-07-02T21:37:43Z,2,87471639,4076934,,,,,,,Shanghai,Shanghai
node/4534849601,Aldi,,,,Aldi,Q125054,"Mo-We 08:00-18:30; Th, Fr 08:00-21:00; Sa 08:00-16:00",,,Interactiondesigner,,,,+41 41 240 79 82,,,Hertensteinstrasse,50,,8.3075962,47.0541662,en:Aldi,,,,,,supermarket,,2020-03-28T15:40:14Z,3,82756501,4076934,,,,,,,,
node/4609332523,Denner,Luzern EKZ Ruopigen-Märt,,,Denner,Q379911,,,yes,FischersFritz,,,,,,,,,,8.2743467,47.0614285,,,migros_bank;postfinance_card,no,no,checkout,supermarket,,2022-01-18T20:13:56Z,6,116314679,74900,,,,,,,,
node/4751134997,s'Gänterli Bio-Laden,,,,,,"Tu-Fr 08:30-12:15,14:00-18:30; Sa 08:30-16:00",,,Nedfro,,only,,+41 41 240 59 12,,http://www.gänterli.ch/,Vonmattstrasse,50,,8.300816,47.0461691,,,,,,,supermarket,,2017-10-18T12:07:04Z,5,53037734,5688071,,,,,,,,
node/4931591722,Migros,Luzern Schlossberg,Migros Schlossberg,Luzern,Migros,Q680727,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,,sampeto,,,,,,https://filialen.migros.ch/de/migros-supermarkt-luzern-schlossberg,Friedentalstrasse,6,6004,8.3077943,47.0612692,de:Migros,,migros_bank;postfinance_card,no,no,checkout,supermarket,,2021-09-22T13:04:20Z,6,111543061,9517052,,,2021-09-22,,,,,
node/5435055314,Coop,Luzern Hirschmatt,Coop Hirschmatt,Luzern,Coop,Q432564,Mo-We 06:30-18:00; Th-Fr 06:30-24:00; PH closed; Sa 06:30-16:00,Coop Genossenschaft,no,😈😈😈,,,,,,,Hirschmattstrasse,15,6003,8.306677,47.0485838,de:Coop (Schweiz),,,,,,supermarket,,2021-03-06T18:11:28Z,8,100548186,12657614,,,,,,,,
node/5602979356,Migros,,,,Migros,Q680727,Mo-Th 10:00-18:30; Fr 10:00-20:00; Sa 10:00-16:00,,,woodpeck_repair,,,,,,,Würzenbachstrasse,,,8.3435784,47.0550399,en:Migros,,postfinance_card,no,no,checkout,supermarket,,2021-11-19T10:52:33Z,5,113983736,145231,,,,,,,,
node/5643925968,Jurt Optik,,,Luzern,,,"Di-Fr 08:00-12:00, 13:30-18:30 Sa 08:00-16:00",Bernhard Jurt,,trickedlist,,,,,,,Würzenbachstrasse,15,6006,8.3429131,47.0550251,,,,,,,supermarket,,2018-05-26T15:20:21Z,1,59296250,5878789,,,,,,,,
node/6433998885,Bio Oel,,,,,,,,,Interactiondesigner,,only,,,,,,,,8.2992586,47.0507244,,,,,,,supermarket,,2019-04-28T15:13:09Z,2,69666561,4076934,,,,,,,,
node/6652920985,Denner,Luzern Bundesstrasse,,Luzern,Denner,Q379911,,,,sovereign_ch,,,,,,,Bundesstrasse,12,6003,8.304805,47.0436265,,,migros_bank;postfinance_card,no,no,checkout,supermarket,,2020-06-05T21:40:27Z,6,86263177,5755216,,,,,,,,
node/6710832885,Alnatura,Luzern,Alnatura Luzern,Luzern,Alnatura,Q876811,Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 08:00-17:00; PH off,Genossenschaft Migros Luzern,,sovereign_ch,,,,,,https://www.alnatura.ch/de/filialfinder.html#alnatura-bio-super-markt-alnatura-bio-super-markt-luzern,Hertensteinstrasse,40,6004,8.3084604,47.0543816,,,,,,,supermarket,,2020-06-30T16:26:23Z,5,87357762,5755216,,,,,,,,
node/6750927182,Migros,Kriens Mattenhof,Migros Kriens Mattenhof,Kriens,Migros,Q680727,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,yes,wheelmap_visitor,,,,,,https://filialen.migros.ch/de/migros-supermarkt-kriens-mattenhof,Am Mattenhof,2,6010,8.3009461,47.0276194,en:Migros,,migros_bank;postfinance_card,no,no,checkout,supermarket,,2021-03-01T11:21:38Z,7,100193440,290680,,,,,,,,
node/7395144124,Coop,,Coop City Luzern Food,Luzern,Coop,Q432564,,Coop Genossenschaft,,sovereign_ch,,,,,,,Rössligasse,18-20,6000,8.3039971,47.0521569,,,,,,,supermarket,,2020-06-05T21:40:27Z,3,86263177,5755216,,,,,,,,
node/7572536707,Maximum Supermarkt,,,,,,,,,sovereign_ch,,,,,,,,,,8.3086011,47.0229982,,,,,,,supermarket,,2020-05-30T13:53:18Z,1,85982605,5755216,,,,,,,,
node/8171358619,Denner,,,,Denner,Q379911,,,,topius,,,,,,,,,,8.3041762,47.037959,en:Denner (supermarket),,,,,,supermarket,,2020-12-02T09:24:28Z,2,95144038,2903947,,,,,,,,
